Tweet,Label,tweet_tokens,tweet_freq_dist,tweet_normalized,token_stop_word,tweet_stemming
rt aktualco mahfud md heran uu pemda sangat jelas tapi mendagri keukeuh pertahankan ahok,0,"['rt', 'aktualco', 'mahfud', 'md', 'heran', 'uu', 'pemda', 'sangat', 'jelas', 'tapi', 'mendagri', 'keukeuh', 'pertahankan', 'ahok']",<FreqDist with 14 samples and 14 outcomes>,"['rt', 'aktualco', 'mahfud', 'md', 'heran', 'uu', 'pemda', 'sangat', 'jelas', 'tapi', 'mendagri', 'keukeuh', 'pertahankan', 'ahok']","['rt', 'aktualco', 'mahfud', 'md', 'heran', 'uu', 'pemda', 'mendagri', 'keukeuh', 'pertahankan', 'ahok']","['rt', 'aktualco', 'mahfud', 'md', 'heran', 'uu', 'pemda', 'mendagri', 'keukeuh', 'tahan', 'ahok']"
dan soal soal ributribut pribumi vs non pribumi yang ramai di beranda saya itu sebenarnya maksudnya apa ikut,0,"['dan', 'soal', 'soal', 'ributribut', 'pribumi', 'vs', 'non', 'pribumi', 'yang', 'ramai', 'di', 'beranda', 'saya', 'itu', 'sebenarnya', 'maksudnya', 'apa', 'ikut']",<FreqDist with 16 samples and 18 outcomes>,"['dan', 'soal', 'soal', 'ributribut', 'pribumi', 'vs', 'non', 'pribumi', 'yang', 'ramai', 'di', 'beranda', 'saya', 'itu', 'sebenarnya', 'maksudnya', 'apa', 'ikut']","['ributribut', 'pribumi', 'vs', 'non', 'pribumi', 'ramai', 'beranda', 'maksudnya']","['ributribut', 'pribumi', 'vs', 'non', 'pribumi', 'ramai', 'beranda', 'maksud']"
rt miekarinayam saya bertanya apakah saya memang tak boleh ikut pilkada apakah saya kehilangan hak saya yg dijamin konstitusi,0,"['rt', 'miekarinayam', 'saya', 'bertanya', 'apakah', 'saya', 'memang', 'tak', 'boleh', 'ikut', 'pilkada', 'apakah', 'saya', 'kehilangan', 'hak', 'saya', 'yg', 'dijamin', 'konstitusi']",<FreqDist with 15 samples and 19 outcomes>,"['rt', 'miekarinayam', 'saya', 'bertanya', 'apakah', 'saya', 'memang', 'tak', 'boleh', 'ikut', 'pilkada', 'apakah', 'saya', 'kehilangan', 'hak', 'saya', 'yang', 'dijamin', 'konstitusi']","['rt', 'miekarinayam', 'pilkada', 'kehilangan', 'hak', 'dijamin', 'konstitusi']","['rt', 'miekarinayam', 'pilkada', 'hilang', 'hak', 'jamin', 'konstitusi']"
pak aniesbaswedan knpa ngga mampir dulu ke tempat saya orangtua saya ngefans bgt,0,"['pak', 'aniesbaswedan', 'knpa', 'ngga', 'mampir', 'dulu', 'ke', 'tempat', 'saya', 'orangtua', 'saya', 'ngefans', 'bgt']",<FreqDist with 12 samples and 13 outcomes>,"['pak', 'aniesbaswedan', 'knpa', 'ngga', 'mampir', 'dulu', 'ke', 'tempat', 'saya', 'orangtua', 'saya', 'ngefans', 'bgt']","['aniesbaswedan', 'knpa', 'ngga', 'mampir', 'orangtua', 'ngefans', 'bgt']","['aniesbaswedan', 'knpa', 'ngga', 'mampir', 'orangtua', 'ngefans', 'bgt']"
pak saya setuju kalo pak jadi gubenur karena kerja pak sangat bagus kerena kerja pak basuki tegas keluarga kami mendukung pak basuki,0,"['pak', 'saya', 'setuju', 'kalo', 'pak', 'jadi', 'gubenur', 'karena', 'kerja', 'pak', 'sangat', 'bagus', 'kerena', 'kerja', 'pak', 'basuki', 'tegas', 'keluarga', 'kami', 'mendukung', 'pak', 'basuki']",<FreqDist with 16 samples and 22 outcomes>,"['pak', 'saya', 'setuju', 'kalo', 'pak', 'jadi', 'gubenur', 'karena', 'kerja', 'pak', 'sangat', 'bagus', 'kerena', 'kerja', 'pak', 'basuki', 'tegas', 'keluarga', 'kami', 'mendukung', 'pak', 'basuki']","['setuju', 'kalo', 'gubenur', 'kerja', 'bagus', 'kerena', 'kerja', 'basuki', 'keluarga', 'mendukung', 'basuki']","['tuju', 'kalo', 'gubenur', 'kerja', 'bagus', 'rena', 'kerja', 'basuki', 'keluarga', 'dukung', 'basuki']"
rt aniessandi bisa merangkul dan menegakkan hukum kepemimpinan itu hadir dengan memberikan contoh perbuatan aniesbaswedan,0,"['rt', 'aniessandi', 'bisa', 'merangkul', 'dan', 'menegakkan', 'hukum', 'kepemimpinan', 'itu', 'hadir', 'dengan', 'memberikan', 'contoh', 'perbuatan', 'aniesbaswedan']",<FreqDist with 15 samples and 15 outcomes>,"['rt', 'aniessandi', 'bisa', 'merangkul', 'dan', 'menegakkan', 'hukum', 'kepemimpinan', 'itu', 'hadir', 'dengan', 'memberikan', 'contoh', 'perbuatan', 'aniesbaswedan']","['rt', 'aniessandi', 'merangkul', 'menegakkan', 'hukum', 'kepemimpinan', 'hadir', 'contoh', 'perbuatan', 'aniesbaswedan']","['rt', 'aniessandi', 'rangkul', 'tegak', 'hukum', 'pimpin', 'hadir', 'contoh', 'buat', 'aniesbaswedan']"
rt temanahok alhamdulillah sambutan antusias warga di tiap blusukan pak ahok selalu real ngga ada settingan,0,"['rt', 'temanahok', 'alhamdulillah', 'sambutan', 'antusias', 'warga', 'di', 'tiap', 'blusukan', 'pak', 'ahok', 'selalu', 'real', 'ngga', 'ada', 'settingan']",<FreqDist with 16 samples and 16 outcomes>,"['rt', 'temanahok', 'alhamdulillah', 'sambutan', 'antusias', 'warga', 'di', 'tiap', 'blusukan', 'pak', 'ahok', 'selalu', 'real', 'ngga', 'ada', 'settingan']","['rt', 'temanahok', 'alhamdulillah', 'sambutan', 'antusias', 'warga', 'blusukan', 'ahok', 'real', 'ngga', 'settingan']","['rt', 'temanahok', 'alhamdulillah', 'sambut', 'antusias', 'warga', 'blusukan', 'ahok', 'real', 'ngga', 'settingan']"
matanajwadebatjakarta kerendahan hati dan lawan kerendahan hati kelihatan banget,0,"['matanajwadebatjakarta', 'kerendahan', 'hati', 'dan', 'lawan', 'kerendahan', 'hati', 'kelihatan', 'banget']",<FreqDist with 7 samples and 9 outcomes>,"['matanajwadebatjakarta', 'kerendahan', 'hati', 'dan', 'lawan', 'kerendahan', 'hati', 'kelihatan', 'banget']","['matanajwadebatjakarta', 'kerendahan', 'hati', 'lawan', 'kerendahan', 'hati', 'banget']","['matanajwadebatjakarta', 'rendah', 'hati', 'lawan', 'rendah', 'hati', 'banget']"
rt qronoz pokoknya kalo ahok udah ngomong aduuuuuuh kelar debatfinalpilkadajkt,0,"['rt', 'qronoz', 'pokoknya', 'kalo', 'ahok', 'udah', 'ngomong', 'aduuuuuuh', 'kelar', 'debatfinalpilkadajkt']",<FreqDist with 10 samples and 10 outcomes>,"['rt', 'qronoz', 'pokoknya', 'kalo', 'ahok', 'udah', 'ngomong', 'aduuuuuuh', 'kelar', 'debatfinalpilkadajkt']","['rt', 'qronoz', 'pokoknya', 'kalo', 'ahok', 'udah', 'ngomong', 'aduuuuuuh', 'kelar', 'debatfinalpilkadajkt']","['rt', 'qronoz', 'pokok', 'kalo', 'ahok', 'udah', 'ngomong', 'aduuuuuuh', 'kelar', 'debatfinalpilkadajkt']"
kiranya jakarta semakin baik selamat berjuang buat pak ahok dan pak anies matanajwadebatjakarta,0,"['kiranya', 'jakarta', 'semakin', 'baik', 'selamat', 'berjuang', 'buat', 'pak', 'ahok', 'dan', 'pak', 'anies', 'matanajwadebatjakarta']",<FreqDist with 12 samples and 13 outcomes>,"['kiranya', 'jakarta', 'semakin', 'baik', 'selamat', 'berjuang', 'buat', 'pak', 'ahok', 'dan', 'pak', 'anies', 'matanajwadebatjakarta']","['jakarta', 'selamat', 'berjuang', 'ahok', 'anies', 'matanajwadebatjakarta']","['jakarta', 'selamat', 'juang', 'ahok', 'anies', 'matanajwadebatjakarta']"
